,name,role,type,demographic,description,units,missing_values
0,ID,ID,Integer,,Record ID (ID): Unique identifier. Cannot be related to participant. It can be used for reference only.,,no
1,AGE,Feature,Integer,Age,Age of patient.,,no
2,SEX,Feature,Binary,Sex,"0: female, 1: male",,no
3,INF_ANAM,Feature,Categorical,,"Quantity of myocardial infarctions in the anamnesis. 

0: zero

1: one

2: two

3: three and more",,yes
4,STENOK_AN,Feature,Categorical,,"Exertional angina pectoris in the anamnesis. 

0: never

1: during the last year 

2: one year ago

3: two years ago

4: three years ago

5: 4-5 years ago",,yes
5,FK_STENOK,Feature,Categorical,,"Functional class (FC) of angina pectoris in the last year. 

0: there is no angina pectoris

1: I FC

2: II FC

3: III FC

4: IV FC",,yes
6,IBS_POST,Feature,Categorical,,"Coronary heart disease (CHD) in recent weeks, days before admission to hospital 

0: none

1: exertional angina pectoris

2: unstable angina pectoris",,yes
7,IBS_NASL,Feature,Binary,,"Heredity on CHD

0: isn't burdened

1: burdened",,yes
8,GB,Feature,Categorical,,"Presence of an essential hypertension 

0: there is no essential hypertension 

1: Stage 1 

2: Stage 2

3: Stage 3",,yes
9,SIM_GIPERT,Feature,Binary,,Symptomatic hypertension,,yes
10,DLIT_AG,Feature,Categorical,,"there was no arterial hypertension

1: one year

2: two years

3: three years

4: four years

5: five years

6: 6-10 years

7: more than 10 years",,yes
11,ZSN_A,Feature,Categorical,,"Presence of chronic Heart failure (HF) in the anamnesis: Partially ordered attribute: there are two lines of severities:

0<1<2<4,

0<1<3<4.

State 4 means simultaneous states 2 and 3



0: there is no chronic heart failure

1: I stage

2: II stage (heart failure due to right 

ventricular systolic dysfunction)

3: II stage (heart failure due to left 

ventricular systolic dysfunction)

4: IIB stage (heart failure due to left and

 right ventricular systolic dysfunction)",,yes
12,nr_11,Feature,Binary,,Observing of arrhythmia in the anamnesis,,yes
13,nr_01,Feature,Binary,,Premature atrial contractions in the anamnesis,,yes
14,nr_02,Feature,Binary,,Premature ventricular contractions in the anamnesis,,yes
15,nr_03,Feature,Binary,,Paroxysms of atrial fibrillation in the anamnesis,,yes
16,nr_04,Feature,Binary,,A persistent form of atrial fibrillation in the anamnesis,,yes
17,nr_07,Feature,Binary,,Ventricular fibrillation in the anamnesis,,yes
18,nr_08,Feature,Binary,,Ventricular paroxysmal tachycardia in the anamnesis,,yes
19,np_01,Feature,Binary,,First-degree AV block in the anamnesis,,yes
20,np_04,Feature,Binary,,Third-degree AV block in the anamnesis,,yes
21,np_05,Feature,Binary,,LBBB (anterior branch) in the anamnesis,,yes
22,np_07,Feature,Binary,,Incomplete LBBB in the anamnesis,,yes
23,np_08,Feature,Binary,,Complete LBBB in the anamnesis ,,yes
24,np_09,Feature,Binary,,Incomplete RBBB in the anamnesis,,yes
25,np_10,Feature,Binary,,Complete RBBB in the anamnesis,,yes
26,endocr_01,Feature,Binary,,Diabetes mellitus in the anamnesis,,yes
27,endocr_02,Feature,Binary,,Obesity in the anamnesis,,yes
28,endocr_03,Feature,Binary,,Thyrotoxicosis in the anamnesis,,yes
29,zab_leg_01,Feature,Binary,,Chronic bronchitis in the anamnesis,,yes
30,zab_leg_02,Feature,Binary,,Obstructive chronic bronchitis in the anamnesis,,yes
31,zab_leg_03,Feature,Binary,,Bronchial asthma in the anamnesis ,,yes
32,zab_leg_04,Feature,Binary,,Chronic pneumonia in the anamnesis,,yes
33,zab_leg_06,Feature,Binary,,Pulmonary tuberculosis in the anamnesis,,yes
34,S_AD_KBRIG,Feature,Integer,,Systolic blood pressure according to Emergency Cardiology Team ,mmHg,yes
35,D_AD_KBRIG,Feature,Integer,,Diastolic blood pressure according to Emergency Cardiology Team,mmHg,yes
36,S_AD_ORIT,Feature,Integer,,Systolic blood pressure according to intensive care unit,mmHg,yes
37,D_AD_ORIT,Feature,Integer,,Diastolic blood pressure according to intensive care unit,mmHg,yes
38,O_L_POST,Feature,Binary,,Pulmonary edema at the time of admission to intensive care unit ,,yes
39,K_SH_POST,Feature,Binary,,Cardiogenic shock at the time of admission to intensive care unit ,,yes
40,MP_TP_POST,Feature,Binary,,"Paroxysms of atrial fibrillation at the time of admission to intensive care unit, (or at a pre-hospital stage)",,yes
41,SVT_POST,Feature,Binary,,"Paroxysms of supraventricular tachycardia at the time of admission to intensive care unit, (or at a pre-hospital stage)",,yes
42,GT_POST,Feature,Binary,,"Paroxysms of ventricular tachycardia at the time of admission to intensive care unit, (or at a pre-hospital stage)",,yes
